0.85426,2.30020,0.42748,-1.21964,0.09193,-0.25572,0.00185
0.85790,2.30089,0.42897,-1.21956,0.09234,-0.25569,0.00185
0.86152,2.30156,0.43045,-1.21948,0.09275,-0.25566,0.00185
0.86514,2.30220,0.43193,-1.21939,0.09316,-0.25563,0.00185
0.86874,2.30281,0.43341,-1.21928,0.09357,-0.25560,0.00185
0.87232,2.30340,0.43488,-1.21916,0.09398,-0.25557,0.00185
0.87590,2.30395,0.43635,-1.21903,0.09439,-0.25554,0.00185
0.87946,2.30447,0.43781,-1.21888,0.09480,-0.25551,0.00185
0.88301,2.30497,0.43928,-1.21873,0.09521,-0.25548,0.00185
0.88655,2.30543,0.44074,-1.21855,0.09562,-0.25545,0.00185
0.89008,2.30586,0.44220,-1.21837,0.09603,-0.25542,0.00185
0.89359,2.30626,0.44365,-1.21817,0.09644,-0.25538,0.00185
0.89710,2.30663,0.44510,-1.21795,0.09685,-0.25535,0.00185
0.90059,2.30697,0.44655,-1.21772,0.09726,-0.25532,0.00185
0.90407,2.30727,0.44799,-1.21748,0.09767,-0.25529,0.00186
0.90753,2.30753,0.44943,-1.21722,0.09808,-0.25525,0.00186
0.91098,2.30777,0.45087,-1.21695,0.09849,-0.25522,0.00186
0.91443,2.30797,0.45231,-1.21666,0.09889,-0.25519,0.00186
0.91785,2.30813,0.45374,-1.21635,0.09930,-0.25515,0.00186
0.92127,2.30827,0.45517,-1.21603,0.09971,-0.25512,0.00186
0.92468,2.30836,0.45660,-1.21569,0.10012,-0.25509,0.00186
0.92807,2.30842,0.45802,-1.21534,0.10053,-0.25505,0.00186
0.93145,2.30844,0.45944,-1.21497,0.10093,-0.25502,0.00186
0.93481,2.30842,0.46086,-1.21458,0.10134,-0.25498,0.00186
0.93817,2.30836,0.46227,-1.21417,0.10175,-0.25495,0.00186
0.94151,2.30827,0.46368,-1.21375,0.10216,-0.25492,0.00186
0.94484,2.30814,0.46509,-1.21331,0.10257,-0.25488,0.00186
0.94816,2.30797,0.46650,-1.21286,0.10297,-0.25484,0.00186
0.95146,2.30776,0.46790,-1.21238,0.10338,-0.25481,0.00186
0.95475,2.30751,0.46930,-1.21189,0.10379,-0.25477,0.00186
0.95803,2.30721,0.47069,-1.21137,0.10420,-0.25474,0.00186
0.96130,2.30688,0.47209,-1.21085,0.10460,-0.25470,0.00186
0.96455,2.30651,0.47348,-1.21030,0.10501,-0.25467,0.00186
0.96779,2.30609,0.47486,-1.20973,0.10542,-0.25463,0.00186
0.97102,2.30563,0.47625,-1.20914,0.10583,-0.25459,0.00186
0.97424,2.30513,0.47763,-1.20853,0.10624,-0.25456,0.00186
0.97744,2.30458,0.47900,-1.20791,0.10664,-0.25452,0.00186
0.98063,2.30399,0.48038,-1.20726,0.10705,-0.25448,0.00186
0.98380,2.30336,0.48175,-1.20659,0.10746,-0.25444,0.00186
0.98697,2.30267,0.48311,-1.20590,0.10787,-0.25441,0.00187
0.99011,2.30195,0.48448,-1.20519,0.10828,-0.25437,0.00187
0.99325,2.30117,0.48584,-1.20446,0.10868,-0.25433,0.00187
0.99637,2.30035,0.48719,-1.20371,0.10909,-0.25430,0.00187
0.99948,2.29949,0.48855,-1.20294,0.10950,-0.25426,0.00187
1.00257,2.29857,0.48990,-1.20214,0.10991,-0.25422,0.00187
